name,brand,category,price_inr,original_price_inr,discount_percent,rating,total_reviews,image_url,ajio_url,platform
NETPLAY Men Slim Fit Polo T-Shirt,NETPLAY,Clothing,180,180,70,4.5,230,https://dummyjson.com/image/400x400/282828/ffffff?text=NETPLAY%20Men%20Sli,https://www.ajio.com/netplay-men-slim-fit-polo-t-shirt/p/443123851_ltgreen?,ajio
NEONOMAD Men Striped Regular Fit Polo T-Shirt,NEONOMAD,Clothing,269,269,73,4.5,325,https://dummyjson.com/image/400x400/282828/ffffff?text=NEONOMAD%20Men%20St,https://www.ajio.com/neonomad-men-striped-regular-fit-polo-t-shirt/p/702341640_green?,ajio
Buda Jeans Co Men Ribbed Regular Fit T-Shirt,Buda Jeans Co,Clothing,290,290,71,4.5,381,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-ribbed-regular-fit-t-shirt/p/702966077_black?,ajio
NEONOMAD Men Colourblock Regular Fit Polo T-Shirt,NEONOMAD,Clothing,269,269,73,4,79,https://dummyjson.com/image/400x400/282828/ffffff?text=NEONOMAD%20Men%20Co,https://www.ajio.com/neonomad-men-colourblock-regular-fit-polo-t-shirt-/p/702335265_blue?,ajio
Buda Jeans Co Men Typographic Print Regular Fit Polo T-Shirt,Buda Jeans Co,Clothing,310,310,69,5,155,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-typographic-print-regular-fit-polo-t-shirt/p/702687060_green?,ajio
Buda Jeans Co Men Embroidered Regular Fit Polo T-Shirt,Buda Jeans Co,Clothing,650,650,74,4.5,353,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-embroidered-regular-fit-polo-t-shirt/p/702636696_cream?,ajio
Bullmer Men Pack of 2 Graphic Print Oversized Fit Round-Neck T-Shirts,Bullmer,Clothing,528,528,82,4,442,https://dummyjson.com/image/400x400/282828/ffffff?text=Bullmer%20Men%20Pac,https://www.ajio.com/bullmer-men-pack-of-2-graphic-print-oversized-fit-round-neck-t-shirts/p/701932990_beige?,ajio
Hellcat Pack of 5 Printed Round-Neck T-Shirt,Hellcat,Clothing,520,520,92,5,395,https://dummyjson.com/image/400x400/282828/ffffff?text=Hellcat%20Pack%20of,https://www.ajio.com/hellcat-pack-of-5-printed-round-neck-t-shirt/p/466097830_multi?,ajio
Crazybee X AG Men Graphic Regular Fit T-Shirt,Crazybee X AG,Clothing,198,198,80,4.5,352,https://dummyjson.com/image/400x400/282828/ffffff?text=Crazybee%20X%20AG%20M,https://www.ajio.com/crazybee-x-ag-men-graphic-regular-fit-t-shirt-/p/701676732_black?,ajio
Crazybee X AG Men Graphic Print Oversized Crew-Neck T-Shirt,Crazybee X AG,Clothing,249,249,75,4,260,https://dummyjson.com/image/400x400/282828/ffffff?text=Crazybee%20X%20AG%20M,https://www.ajio.com/crazybee-x-ag-men-graphic-print-oversized-crew-neck-t-shirt/p/703227340_beige?,ajio
Vooter Men Polo Collar T-shirt,Vooter,Clothing,440,440,78,4.5,14,https://dummyjson.com/image/400x400/282828/ffffff?text=Vooter%20Men%20Polo,https://www.ajio.com/vooter-men-polo-collar-t-shirt/p/700956164_olive?,ajio
AUSK Men Colourblock Regular Fit Polo T-Shirt,AUSK,Clothing,299,299,80,4.5,334,https://dummyjson.com/image/400x400/282828/ffffff?text=AUSK%20Men%20Colour,https://www.ajio.com/ausk-men-colourblock-regular-fit-polo-t-shirt/p/702811119_coffee?,ajio
Mack Jonney Men Regular Fit Polo T-Shirt,Mack Jonney,Clothing,370,370,63,4,151,https://dummyjson.com/image/400x400/282828/ffffff?text=Mack%20Jonney%20Men,https://www.ajio.com/mack-jonney-men-regular-fit-polo-t-shirt/p/702962837_beige?,ajio
Crazybee X AG Men Graphic Print Oversized Crew-Neck T-Shirt,Crazybee X AG,Clothing,248,248,75,5,42,https://dummyjson.com/image/400x400/282828/ffffff?text=Crazybee%20X%20AG%20M,https://www.ajio.com/crazybee-x-ag-men-graphic-print-oversized-crew-neck-t-shirt/p/701938521_black?,ajio
TOGS & TERRE Men Graphic Loose Fit T-Shirt,TOGS & TERRE,Clothing,285,285,81,4,69,https://dummyjson.com/image/400x400/282828/ffffff?text=TOGS%20%26%20TERRE%20Me,https://www.ajio.com/togs--terre-men-graphic-loose-fit-t-shirt---/p/701806370_black?,ajio
Puma Men's Slim Fit Polo T-shirt,Puma,Clothing,850,850,50,4,388,https://dummyjson.com/image/400x400/282828/ffffff?text=Puma%20Men's%20Slim,https://www.ajio.com/puma-men-s-slim-fit-polo-t-shirt/p/700357509_black?,ajio
Buda Jeans Co Men Regular Fit Polo T-Shirt,Buda Jeans Co,Clothing,360,360,80,4.5,205,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-regular-fit-polo-t-shirt/p/702484771_white?,ajio
UNIDOR Men Leaf Print Oversized Crew-Neck T-Shirt,UNIDOR,Clothing,320,320,68,5,415,https://dummyjson.com/image/400x400/282828/ffffff?text=UNIDOR%20Men%20Leaf,https://www.ajio.com/unidor-men-leaf-print-oversized-crew-neck-t-shirt/p/703001620_offwhite?,ajio
DNMX Men Botanical Print Regular Fit Crew-Neck T-Shirt,DNMX,Clothing,120,120,70,4.5,113,https://dummyjson.com/image/400x400/282828/ffffff?text=DNMX%20Men%20Botani,https://www.ajio.com/dnmx-men-botanical-print-regular-fit-crew-neck-t-shirt/p/443091688_skyblue?,ajio
Buda Jeans Co Men Graphic Print Oversized Fit Round-Neck T-Shirt,Buda Jeans Co,Clothing,375,375,75,4,180,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-graphic-print-oversized-fit-round-neck-t-shirt/p/702406384_brown?,ajio
NEONOMAD Men Regular Fit Polo T-Shirt,NEONOMAD,Clothing,269,269,73,4.5,220,https://dummyjson.com/image/400x400/282828/ffffff?text=NEONOMAD%20Men%20Re,https://www.ajio.com/neonomad-men-regular-fit-polo-t-shirt/p/702340216_green?,ajio
Buda Jeans Co Men Regular Fit Polo T-Shirt,Buda Jeans Co,Clothing,310,310,69,4.5,246,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-regular-fit-polo-t-shirt/p/702723511_blue?,ajio
Crazymonk PORSCHE-Men Typographic Print Oversized Fit Polo T-Shirt,Crazymonk,Clothing,540,540,73,4.5,36,https://dummyjson.com/image/400x400/282828/ffffff?text=Crazymonk%20PORSC,https://www.ajio.com/crazymonk-porsche-men-typographic-print-oversized-fit-polo-t-shirt/p/701945511_black?,ajio
