name,brand,category,price_inr,original_price_inr,discount_percent,rating,total_reviews,image_url,myntra_url,platform
Nap Chief Kids Printed Cotton T-shirt,Nap Chief,Clothing,590,990,40,4.6,1100,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/13980360/2024/3/16/1743aa05-028c-43cd-baa8-1427226666751710560950242-Nap-Chief-Kids-Reversible-Black-Harry-Potter-Sequinned-Round-1.jpg",https://www.myntra.com/tshirts/nap+chief/nap-chief-kids-unisex-reversible-black-harry-potter-sequinned-round-neck-cotton-t-shirt/13980360/buy,myntra
Nap Chief Kids Cotton T-shirt,Nap Chief,Clothing,590,1450,59,4.6,2300,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MAY/9/wdi3daBc_c9eb9f885c15496d983702b46107fa2f.jpg",https://www.myntra.com/tshirts/nap+chief/nap-chief-kids-unisex-marvel-spiderman-printed-round-neck-t-shirt/42020538/buy,myntra
Marks & Spencer Boys Printed T-shirt,Marks & Spencer,Clothing,619,999,38,4.8,13,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2025/APRIL/22/KDWt2JEG_47f91276f6d74c258c441ae44d709459.jpg",https://www.myntra.com/tshirts/marks+%26+spencer/marks--spencer-pure-cotton-mickey-mouse-t-shirt/33729099/buy,myntra
SZN Pack Of 2 Regular Fit T-shirts,SZN,Clothing,299,1199,75,0,0,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MAY/2/wM3SZF5d_df7a02d659ad46cc90a4e2ec2c28a451.jpg",https://www.myntra.com/tshirts/szn/szn-pack-of-2-round-neck-regular-fit-t-shirts/41803585/buy,myntra
FAZZA Pack Of 5 Printed T-shirts,FAZZA,Clothing,556,3699,85,4.5,307,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/FEBRUARY/12/vz4Gggcg_d8bb90fd9153402bab348bbdbd56c405.jpg",https://www.myntra.com/tshirts/fazza/fazza-girls-pack-of-5-typography-printed-round-neck-cotton-t-shirts/32060141/buy,myntra
Be Crazy Printed Oversized T-shirt,Be Crazy,Clothing,413,999,59,0,0,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MAY/4/y4IbyRK0_becb434d46ad4c2086bbbfaf0e03bbf8.jpg",https://www.myntra.com/tshirts/be+crazy/be-crazy-typography-printed-round-neck-cotton-oversized-t-shirt/41548461/buy,myntra
Purple United Kids Kids Girls Full Sleeves Tshirt,Purple United Kids,Clothing,597,1299,54,4.4,104,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/APRIL/8/vSjd9ZFp_7160d91ee5cb499c9c91de4a25d594e4.jpg",https://www.myntra.com/tshirts/purple+united+kids/purple-united-kids-girls-t-shirt/41234730/buy,myntra
DAMN GUD DG Unisex Black Tshirts,DAMN GUD DG,Clothing,499,1000,50,4.2,918,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2025/JULY/7/naFWSdxw_720a023a2ae44c58a06ae0551a3a332.jpg",https://www.myntra.com/tshirts/damn+gud+dg/damn-gud-dg-unisex-black-tshirts/35458638/buy,myntra
Nap Chief Kids Cotton T-shirt,Nap Chief,Clothing,590,1450,59,0,0,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MAY/18/JikFbNcZ_48c8d3bb403f414b8f197561f62406e6.jpg",https://www.myntra.com/tshirts/nap+chief/nap-chief-kids-harry-potter-hogwarts-quidditch-printed-color-block-t-shirt/41907704/buy,myntra
nostrum Men Solid Slim Fit T-shirt,nostrum,Clothing,696,1599,56,4.2,383,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MARCH/27/Jes64NLM_9f236439cb894f91b22a4839a77af869.jpg",https://www.myntra.com/tshirts/nostrum/nostrum-men-dri-fit-solid-polo-collar-slim-fit-t-shirt/33617040/buy,myntra
Googo Gaaga Printed Coton T-shirt,Googo Gaaga,Clothing,249,1400,82,4.7,206,,https://www.myntra.com/tshirts/googo+gaaga/googo-gaaga-printed-round-neck-cotton-t-shirt/40686852/buy,myntra
YK Boys Printed T-shirt,YK,Clothing,537,1295,59,0,0,,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/41537902/buy,myntra
glitchez Floral Printed Relaxed T-shirt,glitchez,Clothing,317,599,47,4.4,505,,https://www.myntra.com/tshirts/glitchez/glitchez-floral-printed-relaxed-t-shirt/31429192/buy,myntra
HELLCAT Boys Pack Of 5 Cotton T-shirt,HELLCAT,Clothing,699,6495,89,4.1,1600,,https://www.myntra.com/tshirts/hellcat/hellcat-boys-pack-of-5-graphic-printed-cotton-t-shirt/22204540/buy,myntra
DILLINGER Printed Relaxed Cotton T-shirt,DILLINGER,Clothing,461,1399,67,4.6,11500,,https://www.myntra.com/tshirts/dillinger/dillinger-graphic-printed-relaxed-fit-pure-cotton-t-shirt/29961765/buy,myntra
glitchez Goofy Print Oversize T-shirt,glitchez,Clothing,373,1099,66,4.4,817,,https://www.myntra.com/tshirts/glitchez/disney-by-glitchez-goofy-grunge-striped-oversize-t-shirt/32243959/buy,myntra
SZN Pack Of 2 Regular Fit T-shirts,SZN,Clothing,299,1199,75,0,0,,https://www.myntra.com/tshirts/szn/szn-pack-of-2-typography-printed-round-neck-regular-fit-t-shirts/41803600/buy,myntra
YK Boys Printed T-shirt,YK,Clothing,537,1295,59,0,0,,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/41537901/buy,myntra
Free Authority Men Che Guevara Print T-shirt,Free Authority,Clothing,539,1199,55,4.5,30,,https://www.myntra.com/tshirts/free+authority/free-authority-men-black-che-guevara-printed-round-neck-pure-cotton-t-shirt/14159174/buy,myntra
H&M Girls Printed T-shirt,H&M,Clothing,379,399,5,4.7,412,,https://www.myntra.com/tshirts/h%26m/hm-girls-printed-t-shirt/40125939/buy,myntra
Moda Rapido Women Printed Applique T-shirt,Moda Rapido,Clothing,350,1999,82,4.5,185,,https://www.myntra.com/tshirts/moda+rapido/moda-rapido-women-printed-applique-t-shirt/39426086/buy,myntra
dostitch Boys Printed T-shirt,dostitch,Clothing,499,999,50,0,0,,https://www.myntra.com/tshirts/dostitch/dostitch-boys-real-madrid-cristiano-ronaldo-printed-round-neck-regular-fit-t-shirt/41811055/buy,myntra
KEESOR Girls Black Tshirts,KEESOR,Clothing,215,499,57,4.6,1400,,https://www.myntra.com/tshirts/keesor/keesor-girls-printed-cotton-tshirt/35469309/buy,myntra
YK Boys Printed T-shirt,YK,Clothing,537,1295,59,0,0,,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/41537900/buy,myntra
Peter England Men Brand Logo Polo Collar T-shirt,Peter England,Clothing,943,1599,41,4.7,6,,https://www.myntra.com/tshirts/peter+england/peter-england-men-brand-logo-polo-collar-t-shirt/40467529/buy,myntra
DKY Women Round Neck T-shirt,DKY,Clothing,699,1199,42,4.5,467,,https://www.myntra.com/tshirts/dky/dky-women-printed-round-neck-t-shirt/34155486/buy,myntra
glitchez Printed Oversized T-shirt,glitchez,Clothing,311,799,61,4.3,455,,https://www.myntra.com/tshirts/glitchez/glitchez-printed-oversized-t-shirt/31352924/buy,myntra
Campus Sutra Men Self Design Cotton T-shirt,Campus Sutra,Clothing,679,1699,60,4.4,21900,,https://www.myntra.com/tshirts/campus+sutra/campus-sutra-men-self-design-polo-collar-cotton-t-shirt/32193190/buy,myntra
YK Boys Printed T-shirt,YK,Clothing,537,1295,59,0,0,,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/41588819/buy,myntra
Nap Chief Kids Cotton T-shirt,Nap Chief,Clothing,590,1450,59,0,0,,https://www.myntra.com/tshirts/nap+chief/nap-chief-kids-unisex-harry-potter-gryffindor-printed-raglan-color-block-t-shirt/42088117/buy,myntra
CORSICA Women Striped Cotton T-shirt,CORSICA,Clothing,289,999,71,4.3,10800,,https://www.myntra.com/tshirts/corsica/corsica-women-bio-finish-striped-round-neck-cotton-relaxed-fit-t-shirt/32573503/buy,myntra
DILLINGER Women Printed T-shirt,DILLINGER,Clothing,475,1399,66,4.5,10800,,https://www.myntra.com/tshirts/dillinger/dillinger-women-graphic-printed-embossed-oversized-t-shirt/29459048/buy,myntra
BULLMER Pack Of 2 Printed T-shirts,BULLMER,Clothing,396,1998,80,4,298,,https://www.myntra.com/tshirts/bullmer/bullmer-men-pack-of-2-graphic-printed-round-neck-cotton-t-shirts/31327006/buy,myntra
SZN Pack Of 2 Printed T-shirts,SZN,Clothing,299,1199,75,0,0,,https://www.myntra.com/tshirts/szn/szn-pack-of-2-graphic-printed-round-neck-regular-sleeves-t-shirts/41810093/buy,myntra
YK Boys Printed T-shirt,YK,Clothing,537,1295,59,0,0,,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/41588818/buy,myntra
Ten x You Muscle Tank T-shirt,Ten x You,Clothing,699,1999,1300,4.8,13,,https://www.myntra.com/tshirts/ten+x+you/ten-x-you-sport-to-street-muscle-tank-t-shirt/39115460/buy,myntra
Campus Sutra Men Self Design Cotton T-shirt,Campus Sutra,Clothing,679,1699,60,4.4,21900,,https://www.myntra.com/tshirts/campus+sutra/campus-sutra-men-self-design-polo-collar-cotton-t-shirt/32193132/buy,myntra
DAMN GUD DG Unisex Black Tshirts,DAMN GUD DG,Clothing,499,1000,50,4.1,524,,https://www.myntra.com/tshirts/damn+gud+dg/damn-gud-dg-unisex-black-tshirts/35053929/buy,myntra
glitchez Washed Effect Polo T-shirt,glitchez,Clothing,577,1699,66,4.1,424,,https://www.myntra.com/tshirts/glitchez/glitchez-washed-effect-polo-collar-t-shirt/32188556/buy,myntra
YK Boys Printed T-shirt,YK,Clothing,537,1295,59,0,0,,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/41588820/buy,myntra
Guugly Wuugly Girls Printed T-shirt,Guugly Wuugly,Clothing,473,799,41,0,0,,https://www.myntra.com/tshirts/guugly+wuugly/guugly-wuugly-girls-elephant-printed-round-neck-cotton-t-shirt-/35327610/buy,myntra
SZN Pack Of 2 Printed T-shirts,SZN,Clothing,299,1199,75,0,0,,https://www.myntra.com/tshirts/szn/szn-pack-of-2-graphic-printed-round-neck-regular-sleeves-t-shirts/41810137/buy,myntra
DressBerry Cotton Printed T-shirt,DressBerry,Clothing,338,999,66,4.3,3100,,https://www.myntra.com/tshirts/dressberry/dressberry-graphic-printed-round-neck-oversized-cotton-t-shirt/35451383/buy,myntra
SZN Pack Of 2 Printed T-shirts,SZN,Clothing,299,1199,75,0,0,,https://www.myntra.com/tshirts/szn/szn-pack-of-2-graphic-printed-round-neck-regular-sleeves-t-shirts/41810194/buy,myntra
YK Boys Printed T-shirt,YK,Clothing,537,1295,59,0,0,,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/41588822/buy,myntra
glitchez Printed Oversized T-shirt,glitchez,Clothing,373,1099,66,4.1,760,,https://www.myntra.com/tshirts/glitchez/glitchez-printed-oversized-t-shirt/31819282/buy,myntra
Nautica Men Straight Fit Jeans,Nautica,Clothing,999,1999,50,0,0,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MAY/11/7dU1DmzX_62d6eb6dfa2e407b9e309eb360eb3927.jpg",https://www.myntra.com/jeans/nautica/nautica-men-straight-fit-light-fade-stretchable-jeans/39523085/buy,myntra
Flying Machine Women Wide Leg Jeans,Flying Machine,Clothing,1506,2349,36,4,868,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MAY/8/jDwujhrc_368b89f1863a48c48c1e00d94fb8d392.jpg",https://www.myntra.com/jeans/flying+machine/flying-machine-women-black-wide-leg-high-rise-stretchable-jeans/18689366/buy,myntra
Marks & Spencer Boys Skinny Fit Mid-Rise Jeans,Marks & Spencer,Clothing,1457,1799,19,0,0,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/JANUARY/14/aeP6Kpme_f4f93a18c9664cba8f83a559d1b6f941.jpg",https://www.myntra.com/jeans/marks+%26+spencer/marks--spencer-boys-skinny-fit-mid-rise-light-fade-jeans/39388753/buy,myntra
Klub Fox Men Straight Fit Cargos Jeans,Klub Fox,Clothing,999,3699,73,0,0,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MAY/7/STfN1ShE_a485a9d85a2648168fe9ba33e77fdf1c.jpg",https://www.myntra.com/jeans/klub+fox/klub-fox-men-faded-straight-fit-cargos-jeans/41940078/buy,myntra
glitchez Men Loose Bootcut Fit Jeans,glitchez,Clothing,714,1299,45,4.1,178,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2025/MAY/2/G02066px_c829d97983b647fc861518e6d70f2789.jpg",https://www.myntra.com/jeans/glitchez/glitchez-men-loose-bootcut-fit-jeans/31179673/buy,myntra
Klub Fox Men Straight Fit Cargos Jeans,Klub Fox,Clothing,999,3599,72,0,0,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MAY/7/vfMkLc3h_8630264d38d849bba98ee0621735ea14.jpg",https://www.myntra.com/jeans/klub+fox/klub-fox-men-straight-fit-denim-cargos-jeans/41940071/buy,myntra
FOREVER FRIDAY Girls Regular Fit Mid-Rise Jeans,FOREVER FRIDAY,Clothing,1149,2299,50,0,0,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MARCH/17/Ld55Ocxz_348fa88f7c464f008078ed8cceef1685.jpg",https://www.myntra.com/jeans/forever+friday/forever-friday-girls-comfort-regular-fit-mid-rise-jeans/40723651/buy,myntra
FOREVER FRIDAY Boys Regular Fit Mid-Rise Jeans,FOREVER FRIDAY,Clothing,1099,2199,50,0,0,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/MARCH/17/WixLU8X5_fead4c0dc7ab4624b4f0f6db6aecb6f8.jpg",https://www.myntra.com/jeans/forever+friday/forever-friday-boys-comfort-regular-fit-mid-rise-jeans/40724257/buy,myntra
Aadvi Fashion Women High-Rise Jeans,Aadvi Fashion,Clothing,846,2999,72,4.2,6500,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2025/JULY/7/xsCXyEcZ_4ce3c09561364546b6e098fed84e2c00.jpg",https://www.myntra.com/jeans/aadvi+fashion/aadvi-fashion-women-comfort-baggy-fit-high-rise-stretchable-jeans/35476703/buy,myntra
Pepe Jeans Men Stretchable Jeans,Pepe Jeans,Clothing,1499,2299,35,4.4,4400,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2026/APRIL/14/75xu5cmp_ec711da205df4d1692fd9af83be9635b.jpg",https://www.myntra.com/jeans/pepe+jeans/pepe-jeans-men-straight-fit-holborne-stretchable-jeans/31266822/buy,myntra
HIGHLANDER Men Straight Fit Jeans,HIGHLANDER,Clothing,779,2599,70,4.1,2300,,https://www.myntra.com/jeans/highlander/highlander-men-straight-fit-stretchable-jeans/30976220/buy,myntra
V-Mart Men Mid-Rise Jeans,V-Mart,Clothing,854,899,5,0,0,,https://www.myntra.com/jeans/v-mart/v-mart-men-mid-rise-light-fade-jeans/41512774/buy,myntra
Pepe Jeans Men Stretchable Jeans,Pepe Jeans,Clothing,1499,2299,35,4.4,4400,,https://www.myntra.com/jeans/pepe+jeans/pepe-jeans-men-holborne-stretchable-casual-jeans/31266819/buy,myntra
StyleCast x Revolte Men Wide Leg Mid-Rise Jeans,StyleCast x Revolte,Clothing,1439,3999,64,3.6,1400,,https://www.myntra.com/jeans/stylecast+x+revolte/stylecast-x-revolte-men-wide-leg-mid-rise-light-fade-jeans/37943174/buy,myntra
glitchez Women Baggy High Rise Jeans,glitchez,Clothing,679,1999,66,4.4,243,,https://www.myntra.com/jeans/glitchez/glitchez-women-baggy-wide-leg-high-rise-frayed-light-fade-jeans/31596785/buy,myntra
Nifty Women High-Rise Jeans,Nifty,Clothing,874,1999,56,4.3,7800,,https://www.myntra.com/jeans/nifty/nifty-women-high-rise-baggy-fit--jeans/36465951/buy,myntra
V-Mart Men Skinny Fit Mid-Rise Jeans,V-Mart,Clothing,1301,1399,7,0,0,,https://www.myntra.com/jeans/v-mart/v-mart-men-skinny-fit-mid-rise-light-fade-stretchable-jeans/41512754/buy,myntra
Flying Machine Women Wide Leg High-Rise Jeans,Flying Machine,Clothing,1748,2649,34,4.2,340,,https://www.myntra.com/jeans/flying+machine/flying-machine-women-wide-leg-high-rise-stretchable-jeans/29960221/buy,myntra
